Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Category,Price,Option Name 1,Option Value 1,Current Quantity Visual Impact Detail Shop,New Quantity Visual Impact Detail Shop,Stock Alert Enabled Visual Impact Detail Shop,Stock Alert Count Visual Impact Detail Shop,Tax - Brunswick County Sales Tax (6.75%),Tax - New Hanover County Sales Tax (7%),Tax - Onslow County Tax (7%),Tax - Pender County Sales Tax (6.75%)
MO6B3QX3AESM3HNK5R4L4JKK,#dbc_taco Air Freshener,Regular,,,,DBC Products,2.99,,,,,,,Y,N,N,N
ETYSKRUE7AHL6OV3UOJX22GG,1 Inch Rotary Backing Plate,Regular,,,,Retail Products,5.99,,,3,,,,Y,N,N,N
DY6GKUMDK6FQQKZPY7MISK6D,1st Stage Paint Correction,Regular,,,,Highline and Concours Level Services,variable,,,,,,,Y,Y,Y,Y
DFZXDK5GKM6IVACRLUXAVLL6,2 Inch DA Backing Plate,Regular,,,,Retail Products,4.99,,,,,,,Y,N,N,N
EAHITA5YC7FKGOCIKJ46WZBM,2 Inch Pads,Regular,,,,Retail Products,2.99,,,,,,,Y,N,N,N
5HEWABQSHZPKZLLW2ZK34L7Q,2 Inch Rotary Backing Plate,Regular,,,,Retail Products,3.99,,,,,,,Y,N,N,N
GGGBHIH2XYPXV4VYHP3J3UGB,210 Plastic Polish,Regular,,,,Retail Products,15.99,,,,,,,Y,Y,Y,Y
6TAPTHNKMGLFWZC5J43XEJ7F,3 Bucket Wash Setup,Regular,,,,Retail Products,29.99,,,,,,,Y,N,N,N
HJFTYVRU4UQUHX7BFXT3DNJH,3 Inch DA Backing Plate,Regular,,,,Retail Products,8.99,,,,,,,Y,N,N,N
A6BGSJY7IPLYIPKN3VQ3QKKC,3 Inch Pads,Regular,,,,Retail Products,3.99,,,,,,,Y,N,N,N
TNDBS6U3W5WCTMK55WOIT4C4,3 Inch Rotary Backing Plate,Regular,,,,Retail Products,5.99,,,,,,,Y,N,N,N
EHKHMDQKBJB5ORV7ORHFZ3TR,5 Gallon Bucket,Regular,,,,Retail Products,6.99,,,,,,,Y,Y,Y,Y
BZIKVVCI5CUDGFAWXIPR44S5,5 Inch DA Backing Plate,Regular,,,,Retail Products,12.99,,,,,,,Y,Y,Y,Y
UBTMKDTFDQ4ORPALCBER3RXP,"5"" Rag Company Foam Pads",Regular,,,,Retail Products,variable,,,,,,,Y,N,N,N
LIYYGMTXIJJPH3B4G7OAVIAU,"5"" Rag Company Foam Pads","Polishing, Green",,RC 5 POLISH,,Retail Products,8.99,,,4,,,,Y,N,N,N
NB2VVJYN65VXFS4ZENNE6EOL,6 Inch DA Backing Plate,Regular,,,,Retail Products,9.99,,,,,,,Y,Y,Y,Y
NKVPSMAA44UBZHE3OHIMQ3IR,7 Inch Rotary Backing Plate,Regular,,,,Retail Products,7.99,,,,,,,Y,N,N,N
